key,0,1,2,3,4,5,6,7,8,9,10
#,,,,,OutputType,BalloonTime,IsBalloonSlow,BattleTalkTime,,,Text
int32,uint32,bit&01,bit&02,bit&04,byte,single,bit&08,bit&10,byte,byte,str
0,0,False,False,False,1,1,False,False,1,25,"0"
1,0,False,False,False,3,1,False,False,1,25,"0"
2,0,False,False,False,3,5,False,False,1,25,"0"
3,0,False,False,False,3,5,False,False,1,25,"Psst! Die Anolis kommen immer näher ...!"
4,0,False,False,False,3,5,False,False,1,25,"Kein einziger Imp darf entkommen!"
5,0,False,False,False,3,5,False,False,1,25,"Verdammt, es sind zu viele!"
6,0,False,False,False,3,5,False,False,1,25,"Die Schnaken! Sie sind überall!"
7,0,False,False,False,3,5,False,False,1,25,"Die Sylphen kommen, haltet euch bereit!"
8,0,False,False,False,3,5,False,False,1,25,"Oh nein, es werden immer mehr!"
9,0,False,False,False,3,5,False,False,1,25,"Wir werden für Sicherheit auf den Straßen sorgen!"
10,0,False,False,False,3,5,False,False,1,25,"Denen werden wir's zeigen ... "
11,0,False,False,False,3,5,False,False,1,25,"Sie sind hinter den Bohnen her!"
12,0,False,False,False,3,5,False,False,1,25,"Die Ixal! Zu Hilfe!"
13,0,False,False,False,3,5,False,False,1,25,"Seit wann kommen die Ziz in diese Gegend?!"
14,0,False,False,False,3,5,False,False,1,25,"Da kommen sie schon wieder!"
15,0,False,False,False,3,5,False,False,1,25,"Sieh dich vor, die Opo-Opos drehen durch!"
16,0,False,False,False,3,5,False,False,1,25,"Bei den Höllen ... Zeit, die Taktik zu ändern!"
17,0,False,False,False,3,5,False,False,1,25,"Bringt sie um! "
18,0,False,False,False,3,5,False,False,1,25,"Kann uns vielleicht jemand helfen?!"
19,0,False,False,False,3,5,False,False,1,25,"Meine Waren! Die Goblins haben meine Waren!"
20,0,False,False,False,3,5,False,False,1,25,"Sieh dir all diese Golems an!"
21,0,False,False,False,3,5,False,False,1,25,"Noch mehr Imps. Das gibt's doch nicht!"
22,0,False,False,False,3,5,False,False,1,25,"Wenn das so weitergeht, sind bald gar keine Blüten mehr übrig!"
23,0,False,False,False,3,5,False,False,1,25,"Haltet sie auf!"
24,0,False,False,False,3,5,False,False,1,25,"Schaff mir einer diesen Typen vom Hals!"
25,0,False,False,False,3,5,False,False,1,25,"Aus dem Weeeg!"
26,0,False,False,False,2,5,False,False,1,25,"Ngaaah!"
27,0,False,False,False,2,5,False,False,1,25,"Haah!"
28,0,False,False,False,2,5,False,False,1,25,"Stirb schon!"
29,0,False,False,False,2,5,False,False,1,25,"Hngg ..."
30,0,False,False,False,2,5,False,False,1,25,"Versuch das nicht
noch mal, du ...!"
31,0,False,False,False,2,5,False,False,1,25,"Du gehörst mir!"
32,0,False,False,False,2,5,False,False,1,25,"Na los, wer will es mit mir aufnehmen?!"
33,0,False,False,False,2,5,False,False,1,25,"Was ist, willst du mehr?"
34,0,False,False,False,2,5,False,False,1,25,"Raaaaaaaah!"
35,0,False,False,False,2,5,False,False,1,25,"Das war's, mieses Gesindel!"
36,0,False,False,False,2,5,False,False,1,25,"Aus dem Weg!"
37,0,False,False,False,2,5,False,False,1,25,"Ich mach dich fertig!"
38,0,False,False,False,2,5,False,False,1,25,"Lass uns ein wenig Spaß haben!"
39,0,False,False,False,2,5,False,False,1,25,"Du wünschst eine Audienz beim König der Könige?"
40,0,False,False,False,2,3,False,False,1,25,"Knie nieder vor deinem König!"
41,0,False,False,False,2,3,False,False,1,25,"Ich will dich singen hören!"
42,0,False,False,False,2,3,False,False,1,25,"Komm doch näher!"
43,0,False,False,False,2,5,False,False,1,25,"Du wagst es ...!"
44,0,False,False,False,2,5,False,False,1,25,"Das ist höchst impertinent."
45,0,False,False,False,2,3,False,False,1,25,"Tanzt für euren König!"
46,0,False,False,False,2,3,False,False,1,25,"Ist es das, was du willst?"
47,0,False,False,False,2,3,False,False,1,25,"Sieh her ..."
48,0,False,False,False,2,5,False,False,1,25,"Was gibbssa ssu tuscheln, ihr Baum...sschnecken!"
49,0,False,False,False,2,5,False,False,1,25,"Ssswerden wir schonnichs ... letzte Mal, kapiert?! Hick!"
50,0,False,False,False,2,5,False,False,1,25,"Gahahah! Hick! Wer will als Nächssses?"
51,0,False,False,False,2,5,False,False,1,25,"Kann man hier nicht mal in Frieden seinen Met trinken?"
52,0,False,False,False,2,3,False,False,1,25,"Hassu ... 'n Prolll...Bl...Prollem?! Was?"
53,0,False,False,False,2,3,False,False,1,25,"Heilllle Scheiße! Hick!"
54,0,False,False,False,2,5,False,False,1,25,"Die Meinige ist bereit!"
55,0,False,False,False,2,5,False,False,1,25,"Es geht los!"
56,0,False,False,False,2,5,False,False,1,25,"Die Andrigen müssen leiden!"
57,0,False,False,False,2,5,False,False,1,25,"Die Meinige wird nicht untergehen!"
58,0,False,False,False,3,5,False,False,1,25,"Das Klageregiment braucht Unterstützung!"
59,0,False,False,False,3,5,False,False,1,25,"Bis hierher habt ihr euch also geschleppt ... nur um hier zugrunde zu gehen!"
60,0,False,False,False,3,5,False,False,1,25,"Macht schon! Zeigt mir, was ihr drauf habt!"
61,0,False,False,False,3,5,False,False,1,25,"Genug! Die Übung ist beendet."
