key,0,1
#,,Expac
int32,byte,str
0,0,""
1,2,"Heavensward"
2,3,"Stormblood"
3,4,"Shadowbringers"
4,1,"Raids"
5,2,"Allianz-Raids"
6,3,"Prüfungen"
7,1,"Hildibrands Fälle"
8,3,"Sankt Endalim-Theologikum"
9,2,"Hauptszenario (Epilog)"
10,1,"Zimmerer"
11,2,"Grobschmied"
12,3,"Plattner"
13,4,"Goldschmied"
14,5,"Gerber"
15,6,"Weber"
16,7,"Alchemist"
17,8,"Gourmet"
18,1,"Minenarbeiter"
19,2,"Gärtner"
20,3,"Fischer"
21,1,"Gladiator/Paladin"
22,2,"Marodeur/Krieger"
23,1,"Druide/Weißmagier"
24,22,"Hermetiker/Beschwörer"
25,1,"Faustkämpfer/Mönch"
26,2,"Pikenier/Dragoon"
27,3,"Schurke/Ninja"
28,11,"Waldläufer/Barde"
29,21,"Thaumaturg/Schwarzmagier"
30,1,"A Realm Reborn"
31,3,"Dunkelritter"
32,4,"Revolverklinge"
33,2,"Gelehrter"
34,3,"Astrologe"
35,4,"Samurai"
36,12,"Maschinist"
37,13,"Tänzer"
38,0,""
39,23,"Rotmagier"
40,99,"Blaumagier (beschränkter Job)"
41,0,"Verteidiger"
42,0,"Heiler"
43,0,"Angreifer"
44,5,"Rollenaufträge"
45,6,"Das Schicksal des Nichts"
46,5,"Endwalker"
47,4,"Weiser"
48,5,"Schnitter"
