key,0,1,2,3,4,5,6,7,8,9,10
#,,,,,OutputType,BalloonTime,IsBalloonSlow,BattleTalkTime,,,Text
int32,uint32,bit&01,bit&02,bit&04,byte,single,bit&08,bit&10,byte,byte,str
0,0,False,False,False,1,1,False,False,1,25,"0"
1,0,False,False,False,3,1,False,False,1,25,"0"
2,0,False,False,False,3,5,False,False,1,25,"Ohé<Indent/>! Aidez-moi<Indent/>!"
3,0,False,False,False,3,5,False,False,1,25,"Attention ! Les anolis approchent !"
4,0,False,False,False,3,5,False,False,1,25,"Les imps arrivent<Indent/>! Ne les laissez surtout pas s'échapper<Indent/>!"
5,0,False,False,False,3,5,False,False,1,25,"Bordel<Indent/>! Y en a trop !"
6,0,False,False,False,3,5,False,False,1,25,"Les taons ! Il y en a parrrtout !"
7,0,False,False,False,3,5,False,False,1,25,"Sylphes en approche ! Tous à vos armes !"
8,0,False,False,False,3,5,False,False,1,25,"Mais d'où viennent toutes ces créatures !?"
9,0,False,False,False,3,5,False,False,1,25,"Il faut sécuriser les routes !"
10,0,False,False,False,3,5,False,False,1,25,"Donnons une leçon à ces racailles !"
11,0,False,False,False,3,5,False,False,1,25,"Attention<Indent/>! Ils en ont après les fèves !"
12,0,False,False,False,3,5,False,False,1,25,"Haro<Indent/>! Haro<Indent/>! Des Ixali nous attaquent !"
13,0,False,False,False,3,5,False,False,1,25,"Des ziz... ici !?"
14,0,False,False,False,3,5,False,False,1,25,"Regardez, ils reviennent à la charge !"
15,0,False,False,False,3,5,False,False,1,25,"Prudence. Quelque chose excite les opo-opo."
16,0,False,False,False,3,5,False,False,1,25,"Ça va pas ! Il faut changer de stratégie<Indent/>!"
17,0,False,False,False,3,5,False,False,1,25,"Pas de quartier !"
18,0,False,False,False,3,5,False,False,1,25,"Quelqu'un pourrait-il nous aider ?"
19,0,False,False,False,3,5,False,False,1,25,"Mes mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses ! Ces fichus Gobelins se sont enfuis avec !"
20,0,False,False,False,3,5,False,False,1,25,"Mazette<Indent/>! Regardez tous ces golems !"
21,0,False,False,False,3,5,False,False,1,25,"Les imps sont revenus ! Protégez les ruches !"
22,0,False,False,False,3,5,False,False,1,25,"À ce rythme, on n'aura plus aucune fleur d'ici demain<Indent/>!"
23,0,False,False,False,3,5,False,False,1,25,"À l'assaut<Indent/>! Interceptez les pilleurs ixali !"
24,0,False,False,False,3,5,False,False,1,25,"Aidez-moi, s'il vous plaît<Indent/>!"
25,0,False,False,False,3,5,False,False,1,25,"À l'attaaaque<Indent/>!"
26,0,False,False,False,2,5,False,False,1,25,"Aaarrh<Indent/>!"
27,0,False,False,False,2,5,False,False,1,25,"Yaaah<Indent/>!"
28,0,False,False,False,2,5,False,False,1,25,"Crève, charogne<Indent/>!"
29,0,False,False,False,2,5,False,False,1,25,"Sale bête<Indent/>!"
30,0,False,False,False,2,5,False,False,1,25,"C'est pas fini !"
31,0,False,False,False,2,5,False,False,1,25,"Misérable vermine<Indent/>!"
32,0,False,False,False,2,5,False,False,1,25,"T'en veux encore !?"
33,0,False,False,False,2,5,False,False,1,25,"Prends ça !"
34,0,False,False,False,2,5,False,False,1,25,"Raaaaaah<Indent/>!"
35,0,False,False,False,2,5,False,False,1,25,"Prépare-toi à mourir !"
36,0,False,False,False,2,5,False,False,1,25,"Dégage, minable<Indent/>!"
37,0,False,False,False,2,5,False,False,1,25,"Je vais t'arracher les yeux<Indent/>!"
38,0,False,False,False,2,5,False,False,1,25,"Je vais te fairrre danser !"
39,0,False,False,False,2,5,False,False,1,25,"Tu veux une audience avec le rrroi ?"
40,0,False,False,False,2,3,False,False,1,25,"Agenouille-toi devant ton souverrrain !"
41,0,False,False,False,2,3,False,False,1,25,"Je veux t'entendrrre chanter !"
42,0,False,False,False,2,3,False,False,1,25,"Approche un peu..."
43,0,False,False,False,2,5,False,False,1,25,"Pourrrquoi me défies-tu ?"
44,0,False,False,False,2,5,False,False,1,25,"Oh<Indent/>! Quelle imperrrtinence<Indent/>!"
45,0,False,False,False,2,3,False,False,1,25,"Danse pour ton rrroi !"
46,0,False,False,False,2,3,False,False,1,25,"C'est ça que tu cherches !?"
47,0,False,False,False,2,3,False,False,1,25,"Alorrrs<Indent/>! Tu fatigues<Indent/>?"
48,0,False,False,False,2,5,False,False,1,25,"Alors, ça... Hic<Indent/>! ça complote dans mon dos<Indent/>!?"
49,0,False,False,False,2,5,False,False,1,25,"J... J'me vengerai<Indent/>! F-foi de Spenser<Indent/>! Hic<Indent/>!"
50,0,False,False,False,2,5,False,False,1,25,"Mouah ha ha ! Au suivant !"
51,0,False,False,False,2,5,False,False,1,25,"Je voulais juste boire mon hydromel tran<SoftHyphen/>quil<SoftHyphen/>le<SoftHyphen/>ment..."
52,0,False,False,False,2,3,False,False,1,25,"Quand on m'cherche, hic<Indent/>! on m'trouve<Indent/>!"
53,0,False,False,False,2,3,False,False,1,25,"Sale fiente de goobbue<Indent/>!"
54,0,False,False,False,2,5,False,False,1,25,"Je suis prêt !"
55,0,False,False,False,2,5,False,False,1,25,"À l'attaque<Indent/>!"
56,0,False,False,False,2,5,False,False,1,25,"Vous allez souffrir !"
