key,0,1,2,3,4,5,6,7
#,PlayerLevel,,,PlaceName,Icon,Order,Name,Description
int32,uint16,bit&01,uint16,PlaceName,Image,uint16,str,str
0,0,False,0,0,0,1,"",""
1,60,False,0,2089,112145,100,"Steinpuppen-Training","Probiere deine Kampftechniken an einer einfachen Steinpuppe aus, um zu sehen, wie gut du Schaden austeilen kannst. Dies ist die einfachste Schwierigkeitsstufe."
2,60,False,0,2089,112146,101,"Training: Zenit der Götter - Bismarck","Diese Schwierigkeitsstufe dient der Vorbereitung auf den Kampf gegen den wiederbeschworenen Primae Bismarck. Bist du stark genug, den Wolkengott zu besiegen? Teste deine Fähigkeiten gegen eine Steinpuppe, bevor du dein Leben riskierst."
3,60,False,0,2089,112147,102,"Training: Alexander - Gordios","Du willst dich tatsächlich ins Innere der zum Leben erwachten Riesenmaschine Alexander wagen? Alle Achtung! Ich rate dir, vorher dein Können an einer angemessen widerstandsfähigen Steinpuppe auszuprobieren."
4,60,False,0,2089,112148,103,"Training: Alexander - Faust des Vaters (episch)","Mir sind Lieder zu Ohren gekommen, die der fahrende Sänger über deine Abenteuer im Inneren von Alexander gedichtet hat. Unglaublich faszinierend! Hast du Lust, dein Können an einer neuen, härteren Steinpuppe zu demonstrieren?"
5,60,False,0,2089,112149,104,"Training: Alexander - Elle des Vaters (episch)","Mir sind Lieder zu Ohren gekommen, die der fahrende Sänger über deine Abenteuer im Inneren von Alexander gedichtet hat. Unglaublich faszinierend! Hast du Lust, dein Können an einer neuen, härteren Steinpuppe zu demonstrieren?"
6,60,False,0,2089,112150,105,"Training: Alexander - Arm des Vaters (episch)","Mir sind Lieder zu Ohren gekommen, die der fahrende Sänger über deine Abenteuer im Inneren von Alexander gedichtet hat. Unglaublich faszinierend! Hast du Lust, dein Können an einer neuen, härteren Steinpuppe zu demonstrieren?"
7,60,False,0,2089,112151,106,"Training: Alexander - Last des Vaters (episch)","Mir sind Lieder zu Ohren gekommen, die der fahrende Sänger über deine Abenteuer im Inneren von Alexander gedichtet hat. Unglaublich faszinierend! Hast du Lust, dein Können an einer neuen, härteren Steinpuppe zu demonstrieren?"
8,60,False,0,2089,112152,107,"Training: Heldenlied von Thordans Fall","Ich habe von deinem Kampf gegen Papst Thordan und seine Azurgarde gehört und die Herstellung einer entsprechend robusten Steinpuppe in Auftrag gegeben. Willst du dich daran versuchen?"
9,60,False,0,2089,112153,108,"Training: Zenit der Götter - Sephirot","Ist es wirklich wahr, dass du Sephirot besiegt hast, die Ikone der Kriegstriade? Das glaube ich erst, wenn du unsere neueste Steinpuppe zerlegst."
10,60,False,0,2089,112154,109,"Training: Alexander - Midas","Alexander soll wieder in Betrieb sein. Wenn das wahr ist, wird dich dein Weg gewiss wieder in sein Inneres führen. Falls du für den Einsatz trainieren möchtest, steht eine besonders widerstandsfähige Steinpuppe bereit."
11,60,False,0,2089,112155,110,"Training: Alexander - Faust des Sohnes (episch)","Der fahrende Sänger hat neue Lieder gedichtet, über deine Abenteuer im Inneren von Alexanders linkem Arm. Das hat unsere Handwerker zur Herstellung einer neuen Steinpuppe inspiriert, die für dein Training bereit steht."
12,60,False,0,2089,112156,111,"Training: Alexander - Elle des Sohnes (episch)","Der fahrende Sänger hat neue Lieder gedichtet, über deine Abenteuer im Inneren von Alexanders linkem Arm. Das hat unsere Handwerker zur Herstellung einer neuen Steinpuppe inspiriert, die für dein Training bereit steht."
13,60,False,0,2089,112157,112,"Training: Alexander - Arm des Sohnes (episch)","Der fahrende Sänger hat neue Lieder gedichtet, über deine Abenteuer im Inneren von Alexanders linkem Arm. Das hat unsere Handwerker zur Herstellung einer neuen Steinpuppe inspiriert, die für dein Training bereit steht."
14,60,False,0,2089,112158,113,"Training: Alexander - Last des Sohnes (episch)","Der fahrende Sänger hat neue Lieder gedichtet, über deine Abenteuer im Inneren von Alexanders linkem Arm. Das hat unsere Handwerker zur Herstellung einer neuen Steinpuppe inspiriert, die für dein Training bereit steht."
15,60,False,0,2089,112159,114,"Training: Das Lied von Nidhoggs letztem Ruf","Ganz Coerthas spricht über den letzten, erbitterten Kampf gegen Nidhogg. Teste deine Kraft an der Steinpuppe, die der Stärke von Ishgards Erzfeind gleichkommt!"
16,60,False,0,2089,112205,115,"Training: Zenit der Götter - Sophia","Die Göttin Sophia konntest du zwar vorerst überwinden, aber damit ist der Kampf noch nicht vorbei. Bereite dich auf die finale Begegnung mit ihr vor!"
17,60,False,0,2089,112206,116,"Training: Alexander - Der Schöpfer","Bald wirst du also dem Schöpfer Auge in Auge gegen<SoftHyphen/>über<SoftHyphen/>stehen. Für eine solche Begegnung ist kaum einer je bereit - doch wir haben eine Steinpuppe von der Stärke Alexanders bereitgestellt, damit du dich - so gut es geht - darauf vorbereiten kannst."
18,60,False,0,2089,112207,117,"Training: Alexander - Augen des Schöpfers (episch)","Dir ist es tatsächlich gelungen, Alexander zu besiegen! Als Dankesbezeugung widmen wir dir diese Steinpuppe von monumentaler Stärke. Teste deine Stärke an einem epischen Gegner."
19,60,False,0,2089,112208,118,"Training: Alexander - Atem des Schöpfers (episch)","Dir ist es tatsächlich gelungen, Alexander zu besiegen! Als Dankesbezeugung widmen wir dir diese Steinpuppe von monumentaler Stärke. Teste deine Stärke an einem epischen Gegner."
20,60,False,0,2089,112209,119,"Training: Alexander - Herz des Schöpfers (episch)","Dir ist es tatsächlich gelungen, Alexander zu besiegen! Als Dankesbezeugung widmen wir dir diese Steinpuppe von monumentaler Stärke. Teste deine Stärke an einem epischen Gegner."
21,60,False,0,2089,112210,120,"Training: Alexander - Seele des Schöpfers (episch)","Dir ist es tatsächlich gelungen, Alexander zu besiegen! Als Dankesbezeugung widmen wir dir diese Steinpuppe von monumentaler Stärke. Teste deine Stärke an einem epischen Gegner."
22,60,False,0,2089,112211,121,"Training: Zenit der Götter - Zurvan","Respekt! Du hast die dritte Ikone der Kriegstriade besiegt. Aber ruhe dich nicht auf deinen Lorbeeren aus! Wir haben dir eine neue Steinpuppe gemacht, damit du auch weiter in Form bleibst."
23,70,False,0,2628,112247,200,"Training: Königliche Menagerie","Du hast Ala Mhigo befreit und Zenos besiegt! Zum Dank haben wir dir eine Steinpuppe in Gestalt von Shinryu gefertigt, damit du den letzten glorreichen Kampf während der Befreiung Ala Mhigos noch einmal erleben kannst."
24,70,False,0,2628,112249,201,"Training: Zenit der Götter - Lakshmi","Du hast den Primae Lakshmi, den die Ananta beschworen, dahin zurück<SoftHyphen/>geschickt, wo er hergekommen ist! Es besteht immer die Möglichkeit, dass es zu einer neuen, stärkeren Beschwörung kommt - sei darauf vorbereitet!"
25,70,False,0,2628,112248,202,"Training: Zenit der Götter - Susano","Fern im Osten hast du Susano, den Herrn der Feste, besiegt. Doch was, wenn er zurückkommt? Bereite dich auf eine erneute Begegnung vor!"
26,70,False,0,2628,112250,203,"Training: Deltametrie","Am Grunde des brodelnden Äthersees im Gähnenden Schlund sollen dich Testgegner erwarten, deren Stärke und Unbarmherzigkeit ihresgleichen suchen. In Zusammenarbeit mit einem hochkarätigen Mitarbeiter der Gar<SoftHyphen/>lond-Me<SoftHyphen/>tall<SoftHyphen/>wer<SoftHyphen/>ke haben wir eine Steinpuppe konstruiert, die dich auf diese Begegnungen vorbereitet. "
27,70,False,0,2628,112251,204,"Training: Deltametrie 1.0 (episch)","Du hast Omegas Test in der Deltametrie mit Bravour bestanden und den Frieden in Gyr Abania bewahrt. Zur Feier des Tages haben wir in Zusammenarbeit mit den Gar<SoftHyphen/>lond-Me<SoftHyphen/>tall<SoftHyphen/>wer<SoftHyphen/>ken unsere Steinpuppe noch stärker gemacht, damit du dich auf kommende Heraus<SoftHyphen/>forde<SoftHyphen/>rungen vorbereiten kannst!"
28,70,False,0,2628,112252,205,"Training: Deltametrie 2.0 (episch)","Du hast Omegas Test in der Deltametrie mit Bravour bestanden und den Frieden in Gyr Abania bewahrt. Zur Feier des Tages haben wir in Zusammenarbeit mit den Gar<SoftHyphen/>lond-Me<SoftHyphen/>tall<SoftHyphen/>wer<SoftHyphen/>ken unsere Steinpuppe noch stärker gemacht, damit du dich auf kommende Heraus<SoftHyphen/>forde<SoftHyphen/>rungen vorbereiten kannst!"
