key,0,1
#,ContentTalkParam,Text
int32,ContentTalkParam,str
0,4,""
1,1,"Test"
2,2,"Test"
3,3,"Test"
4,1,"Test"
5,2,"Test"
20,4,"Ich organisiere im Auftrag der Aben<SoftHyphen/>teurer<SoftHyphen/>gilde spezielle Einsätze, die wir Gildengeheiße nennen."
21,4,"Darunter fallen besonders heikle und gefährliche Aufgaben, die unmöglich von einer Person allein gelöst werden können, sondern nur von eingespielten Teams."
22,4,"Unter allen Anfragen, die an die Aben<SoftHyphen/>teurer<SoftHyphen/>gilde gestellt werden, wählen wir die schwierigsten aus, die unsere besondere Aufmerksamkeit erfordern."
23,4,"Natürlich winkt bei Erfolg eine angemessen hohe Belohnung. Das versteht sich ja von selbst. Beim ersten erfolgreichen Abschluss fällt sie besonders großzügig aus."
24,4,"Ich organisiere im Auftrag der Aben<SoftHyphen/>teurer<SoftHyphen/>gilde spezielle Einsätze, die wir Gildengeheiße nennen."
25,4,"Sei mir bitte nicht böse, aber ich glaube, du würdest das nicht überleben. Sammle lieber erst noch mehr Erfahrung!"
26,4,"Wie?! Was?! Willst du etwa mitten im Einsatz Fahnenflucht begehen?!"
27,4,"Gut gemacht! Hier hast du deine wohlverdiente Belohnung!"
28,4,"Das war eine beeindruckende Leistung! Daher werde ich als Prämie die Belohnung ein wenig aufstocken. Das hast du dir verdient."
29,4,"He, du siehst schon ganz schön überladen aus."
30,4,"Ich verteile gerade die Belohnung für den Einsatz. Warte bitte noch einen Moment!"
31,4,"Stellt sicher, dass ihr vollzählig seid, und macht euch kampfbereit! "
40,4,"Sei gegrüßt! Als Kommandeurin der Aben<SoftHyphen/>teurer<SoftHyphen/>gilde kümmere ich mich um die Vergabe der Gildengeheiße an geeignete Gruppen."
41,4,"Gildengeheiße sind besonders anspruchsvolle Einsätze, die das Können eines Einzelnen bei weitem übersteigen."
42,4,"Deswegen beauftragen wir damit nur erfahrene Gruppen. Deren Mitglieder müssen sich absolut aufeinander verlassen können und koordiniert vorgehen, sonst haben sie keine Chance! "
43,4,"Dafür fällt die Belohnung auch entsprechend hoch aus und beim ersten Erfolg lege ich sogar immer noch etwas drauf."
44,4,"Sei gegrüßt! Als Kommandeurin der Aben<SoftHyphen/>teurer<SoftHyphen/>gilde kümmere ich mich um die Vergabe der Gildengeheiße an geeignete Gruppen."
45,4,"Nimm es mir bitte nicht übel, aber auf den ersten Blick siehst du noch ziemlich grün hinter den Ohren aus. Ich ziehe deine Hilfe gerne in Betracht, sobald du mehr Erfahrung gesammelt hast."
