key,0,1
#,,Expac
int32,byte,str
0,0,""
1,2,"Heavensward"
2,3,"Stormblood"
3,4,"Shadowbringers"
4,1,"Raids"
5,2,"Raids en alliance"
6,3,"Donjons et défis"
7,1,"Hildibrand, gentilhomme détective"
8,3,"Scolasticat Saint-Endalim"
9,2,"Épopée"
10,1,"Menuisier"
11,2,"Forgeron"
12,3,"Armurier"
13,4,"Orfèvre"
14,5,"Tanneur"
15,6,"Couturier"
16,7,"Alchimiste"
17,8,"Cuisinier"
18,1,"Mineur"
19,2,"Botaniste"
20,3,"Pêcheur"
21,1,"Gladiateur/Paladin"
22,2,"Maraudeur/Guerrier"
23,1,"Élémentaliste/Mage blanc"
24,22,"Arcaniste/Invocateur"
25,1,"Pugiliste/Moine"
26,2,"Maître d'hast/Chevalier dragon"
27,3,"Surineur/Ninja"
28,11,"Archer/Barde"
29,21,"Occultiste/Mage noir"
30,1,"A Realm Reborn"
31,3,"Chevalier noir"
32,4,"Pistosabreur"
33,2,"Érudit"
34,3,"Astromancien"
35,4,"Samouraï"
36,12,"Machiniste"
37,13,"Danseur"
38,0,""
39,23,"Mage rouge"
40,99,"Mage bleu (Job restreint)"
41,0,"Quêtes de rôle"
42,0,"Quêtes de rôle"
43,0,"Quêtes de rôle"
44,5,"Quêtes de rôle - épilogue"
45,6,"L'appel du néant"
46,5,"Endwalker"
47,4,"Sage"
48,5,"Faucheur"
